country,country_code,country_name,gbd_alt_name,hpv_name,wpp_name,wpp_country_code,region,mena,yf,je
AFG,1,Afghanistan,Afghanistan,Afghanistan,Afghanistan,4,EMRO,0,0,0
AGO,5,Angola,Angola,Angola,Angola,24,AFRO,0,1,0
ALB,2,Albania,Albania,Albania,Albania,8,EURO,0,0,0
AND,4,Andorra,Andorra,Andorra,NA,NA,EURO,0,0,0
ARE,183,United Arab Emirates,United Arab Emirates,UAE,United Arab Emirates,784,EMRO,0,0,0
ARG,7,Argentina,Argentina,Argentina,Argentina,32,PAHO,0,1,0
ARM,8,Armenia,Armenia,Armenia,Armenia,51,EURO,0,0,0
ATG,6,Antigua and Barbuda,Antigua and Barbuda,Antigua,Antigua and Barbuda,28,PAHO,0,0,0
AUS,9,Australia,Australia,Australia,Australia,36,WPRO,0,0,1
AUT,10,Austria,Austria,Austria,Austria,40,EURO,0,0,0
AZE,11,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,31,EURO,0,0,0
BDI,28,Burundi,Burundi,Burundi,Burundi,108,AFRO,1,0,0
BEL,17,Belgium,Belgium,Belgium,Belgium,56,EURO,0,0,0
BEN,19,Benin,Benin,Benin,Benin,204,AFRO,1,1,0
BFA,27,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,854,AFRO,1,1,0
BGD,14,Bangladesh,Bangladesh,Bangladesh,Bangladesh,50,SEARO,0,0,1
BGR,26,Bulgaria,Bulgaria,Bulgaria,Bulgaria,100,EURO,0,0,0
BHR,13,Bahrain,Bahrain,Bahrain,Bahrain,48,EMRO,0,0,0
BHS,12,Bahamas,The Bahamas,Bahamas,Bahamas,44,PAHO,0,0,0
BIH,22,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia,Bosnia and Herzegovina,70,EURO,0,0,0
BLR,16,Belarus,Belarus,Belarus,Belarus,112,EURO,0,0,0
BLZ,18,Belize,Belize,Belize,Belize,84,PAHO,0,0,0
BOL,21,Bolivia (Plurinational State of),Bolivia,Bolivia,Bolivia (Plurinational State of),68,PAHO,0,1,0
BRA,24,Brazil,Brazil,Brazil,Brazil,76,PAHO,0,1,0
BRB,15,Barbados,Barbados,Barbados,Barbados,52,PAHO,0,0,0
BRN,25,Brunei Darussalam,Brunei,Brunei,Brunei Darussalam,96,WPRO,0,0,1
BTN,20,Bhutan,Bhutan,Bhutan,Bhutan,64,SEARO,0,0,1
BWA,23,Botswana,Botswana,Botswana,Botswana,72,AFRO,0,0,0
CAF,33,Central African Republic,Central African Republic,CAR,Central African Republic,140,AFRO,1,1,0
CAN,32,Canada,Canada,Canada,Canada,124,PAHO,0,0,0
CHE,169,Switzerland,Switzerland,Switzerland,Switzerland,756,EURO,0,0,0
CHL,35,Chile,Chile,Chile,Chile,152,PAHO,0,0,0
CHN,36,China,China,China,China,156,WPRO,0,0,1
CIV,46,Côte d'Ivoire,Côte d'Ivoire,Cote d'Ivoire,Cote d'Ivoire,384,AFRO,1,1,0
CMR,31,Cameroon,Cameroon,Cameroon,Cameroon,120,AFRO,1,1,0
COD,48,Democratic Republic of the Congo,DR Congo,DRC,Dem. Republic of the Congo,180,AFRO,1,1,0
COG,39,Congo,Congo (Brazzaville),Congo,Congo,178,AFRO,0,1,0
COK,40,Cook Islands,Cook Islands,Cook Islands,NA,NA,WPRO,0,0,0
COL,37,Colombia,Colombia,Colombia,Colombia,170,PAHO,0,1,0
COM,38,Comoros,Comoros,Comoros,Comoros,174,AFRO,0,0,0
CPV,29,Cabo Verde,Cape Verde,Cabo Verde,Cabo Verde,132,AFRO,0,0,0
CRI,41,Costa Rica,Costa Rica,Costa Rica,Costa Rica,188,PAHO,0,0,0
CUB,43,Cuba,Cuba,Cuba,Cuba,192,PAHO,0,0,0
CYP,44,Cyprus,Cyprus,Cyprus,Cyprus,196,EURO,0,0,0
CZE,45,Czechia,Czech Republic,Czech Rep.,Czechia,203,EURO,0,0,0
DEU,67,Germany,Germany,Germany,Germany,276,EURO,0,0,0
DJI,50,Djibouti,Djibouti,Djibouti,Djibouti,262,EMRO,0,0,0
DMA,51,Dominica,Dominica,Dominica,NA,NA,PAHO,0,0,0
DNK,49,Denmark,Denmark,Denmark,Denmark,208,EURO,0,0,0
DOM,52,Dominican Republic,Dominican Republic,Dominican Rep.,Dominican Republic,214,PAHO,0,0,0
DZA,3,Algeria,Algeria,Algeria,Algeria,12,AFRO,0,0,0
ECU,53,Ecuador,Ecuador,Ecuador,Ecuador,218,PAHO,0,1,0
EGY,54,Egypt,Egypt,Egypt,Egypt,818,EMRO,0,0,0
ERI,57,Eritrea,Eritrea,Eritrea,Eritrea,232,AFRO,1,0,0
ESP,164,Spain,Spain,Spain,Spain,724,EURO,0,0,0
EST,58,Estonia,Estonia,Estonia,Estonia,233,EURO,0,0,0
ETH,60,Ethiopia,Ethiopia,Ethiopia,Ethiopia,231,AFRO,1,1,0
FIN,62,Finland,Finland,Finland,Finland,246,EURO,0,0,0
FJI,61,Fiji,Fiji,Fiji,Fiji,242,WPRO,0,0,0
FRA,63,France,France,France,France,250,EURO,0,0,0
FSM,112,Micronesia (Federated States of),Federated States of Micronesia,Micronesia,Micronesia (Fed. States of),583,WPRO,0,0,0
GAB,64,Gabon,Gabon,Gabon,Gabon,266,AFRO,0,1,0
GBR,184,United Kingdom,UK,UK,United Kingdom,826,EURO,0,0,0
GEO,66,Georgia,Georgia,Georgia,Georgia,268,EURO,0,0,0
GHA,68,Ghana,Ghana,Ghana,Ghana,288,AFRO,1,1,0
GIN,72,Guinea,Guinea,Guinea,Guinea,324,AFRO,1,1,0
GMB,65,Gambia,The Gambia,Gambia,Gambia,270,AFRO,1,1,0
GNB,73,Guinea-Bissau,Guinea-Bissau,Guinea-Bissau,Guinea-Bissau,624,AFRO,1,1,0
GNQ,56,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,226,AFRO,0,1,0
GRC,69,Greece,Greece,Greece,Greece,300,EURO,0,0,0
GRD,70,Grenada,Grenada,Grenada,Grenada,308,PAHO,0,0,0
GTM,71,Guatemala,Guatemala,Guatemala,Guatemala,320,PAHO,0,0,0
GUY,74,Guyana,Guyana,Guyana,Guyana,328,PAHO,0,1,0
HND,76,Honduras,Honduras,Honduras,Honduras,340,PAHO,0,0,0
HRV,42,Croatia,Croatia,Croatia,Croatia,191,EURO,0,0,0
HTI,75,Haiti,Haiti,Haiti,Haiti,332,PAHO,0,0,0
HUN,77,Hungary,Hungary,Hungary,Hungary,348,EURO,0,0,0
IDN,80,Indonesia,Indonesia,Indonesia,Indonesia,360,SEARO,0,0,1
IND,79,India,India,India,India,356,SEARO,0,0,1
IRL,83,Ireland,Ireland,Ireland,Ireland,372,EURO,0,0,0
IRN,81,Iran (Islamic Republic of),Iran,Iran,Iran (Islamic Republic of),364,EMRO,0,0,0
IRQ,82,Iraq,Iraq,Iraq,Iraq,368,EMRO,0,0,0
ISL,78,Iceland,Iceland,Iceland,Iceland,352,EURO,0,0,0
ISR,84,Israel,Israel,Israel,Israel,376,EURO,0,0,0
ITA,85,Italy,Italy,Italy,Italy,380,EURO,0,0,0
JAM,86,Jamaica,Jamaica,Jamaica,Jamaica,388,PAHO,0,0,0
JOR,88,Jordan,Jordan,Jordan,Jordan,400,EMRO,0,0,0
