"country_iso3","country_name","sex_id","year","vaccine_short","value"
"AND","Andorra",2,2010,"HPV",0
"AND","Andorra",2,2011,"HPV",0
"AND","Andorra",2,2012,"HPV",0
"AND","Andorra",2,2013,"HPV",0
"AND","Andorra",2,2014,"HPV",0
"AND","Andorra",2,2015,"HPV",0
"AND","Andorra",2,2016,"HPV",0
"AND","Andorra",2,2017,"HPV",0
"AND","Andorra",2,2018,"HPV",49
"AND","Andorra",2,2019,"HPV",64
"AND","Andorra",1,2010,"HPV",0
"AND","Andorra",1,2011,"HPV",0
"AND","Andorra",1,2012,"HPV",0
"AND","Andorra",1,2013,"HPV",0
"AND","Andorra",1,2014,"HPV",0
"AND","Andorra",1,2015,"HPV",0
"AND","Andorra",1,2016,"HPV",0
"AND","Andorra",1,2017,"HPV",0
"AND","Andorra",1,2018,"HPV",0
"AND","Andorra",1,2019,"HPV",0
"ARE","United Arab Emirates (the)",2,2010,"HPV",0
"ARE","United Arab Emirates (the)",2,2011,"HPV",0
"ARE","United Arab Emirates (the)",2,2012,"HPV",0
"ARE","United Arab Emirates (the)",2,2013,"HPV",0
"ARE","United Arab Emirates (the)",2,2014,"HPV",0
"ARE","United Arab Emirates (the)",2,2015,"HPV",0
"ARE","United Arab Emirates (the)",2,2016,"HPV",0
"ARE","United Arab Emirates (the)",2,2017,"HPV",0
"ARE","United Arab Emirates (the)",2,2018,"HPV",26
"ARE","United Arab Emirates (the)",2,2019,"HPV",27
"ARE","United Arab Emirates (the)",1,2010,"HPV",0
"ARE","United Arab Emirates (the)",1,2011,"HPV",0
"ARE","United Arab Emirates (the)",1,2012,"HPV",0
"ARE","United Arab Emirates (the)",1,2013,"HPV",0
"ARE","United Arab Emirates (the)",1,2014,"HPV",0
"ARE","United Arab Emirates (the)",1,2015,"HPV",0
"ARE","United Arab Emirates (the)",1,2016,"HPV",0
"ARE","United Arab Emirates (the)",1,2017,"HPV",0
"ARE","United Arab Emirates (the)",1,2018,"HPV",0
"ARE","United Arab Emirates (the)",1,2019,"HPV",0
"ARG","Argentina",2,2010,"HPV",0
"ARG","Argentina",2,2011,"HPV",0
"ARG","Argentina",2,2012,"HPV",37
"ARG","Argentina",2,2013,"HPV",57
"ARG","Argentina",2,2014,"HPV",54
"ARG","Argentina",2,2015,"HPV",49
"ARG","Argentina",2,2016,"HPV",56
"ARG","Argentina",2,2017,"HPV",49
"ARG","Argentina",2,2018,"HPV",58
"ARG","Argentina",2,2019,"HPV",57
"ARG","Argentina",1,2010,"HPV",0
"ARG","Argentina",1,2011,"HPV",0
"ARG","Argentina",1,2012,"HPV",0
"ARG","Argentina",1,2013,"HPV",0
"ARG","Argentina",1,2014,"HPV",0
"ARG","Argentina",1,2015,"HPV",0
"ARG","Argentina",1,2016,"HPV",0
"ARG","Argentina",1,2017,"HPV",0
"ARG","Argentina",1,2018,"HPV",43
"ARG","Argentina",1,2019,"HPV",46
"ARM","Armenia",2,2010,"HPV",0
"ARM","Armenia",2,2011,"HPV",0
"ARM","Armenia",2,2012,"HPV",0
"ARM","Armenia",2,2013,"HPV",0
"ARM","Armenia",2,2014,"HPV",0
"ARM","Armenia",2,2015,"HPV",0
"ARM","Armenia",2,2016,"HPV",0
"ARM","Armenia",2,2017,"HPV",0
"ARM","Armenia",2,2018,"HPV",2
"ARM","Armenia",2,2019,"HPV",7
"ARM","Armenia",1,2010,"HPV",0
"ARM","Armenia",1,2011,"HPV",0
"ARM","Armenia",1,2012,"HPV",0
"ARM","Armenia",1,2013,"HPV",0
"ARM","Armenia",1,2014,"HPV",0
"ARM","Armenia",1,2015,"HPV",0
"ARM","Armenia",1,2016,"HPV",0
"ARM","Armenia",1,2017,"HPV",0
"ARM","Armenia",1,2018,"HPV",0
"ARM","Armenia",1,2019,"HPV",0
"ATG","Antigua and Barbuda",2,2010,"HPV",0
"ATG","Antigua and Barbuda",2,2011,"HPV",0
"ATG","Antigua and Barbuda",2,2012,"HPV",0
"ATG","Antigua and Barbuda",2,2013,"HPV",0
"ATG","Antigua and Barbuda",2,2014,"HPV",0
"ATG","Antigua and Barbuda",2,2015,"HPV",0
"ATG","Antigua and Barbuda",2,2016,"HPV",0
"ATG","Antigua and Barbuda",2,2017,"HPV",0
"ATG","Antigua and Barbuda",2,2018,"HPV",0
"ATG","Antigua and Barbuda",2,2019,"HPV",0
"ATG","Antigua and Barbuda",1,2010,"HPV",0
"ATG","Antigua and Barbuda",1,2011,"HPV",0
"ATG","Antigua and Barbuda",1,2012,"HPV",0
"ATG","Antigua and Barbuda",1,2013,"HPV",0
"ATG","Antigua and Barbuda",1,2014,"HPV",0
"ATG","Antigua and Barbuda",1,2015,"HPV",0
"ATG","Antigua and Barbuda",1,2016,"HPV",0
"ATG","Antigua and Barbuda",1,2017,"HPV",0
"ATG","Antigua and Barbuda",1,2018,"HPV",0
"ATG","Antigua and Barbuda",1,2019,"HPV",0
"AUS","Australia",2,2010,"HPV",67
"AUS","Australia",2,2011,"HPV",63
"AUS","Australia",2,2012,"HPV",65
"AUS","Australia",2,2013,"HPV",65
"AUS","Australia",2,2014,"HPV",66
"AUS","Australia",2,2015,"HPV",67
"AUS","Australia",2,2016,"HPV",86
"AUS","Australia",2,2017,"HPV",80
