location_id,location_name,location_iso3,gbd_alt_name,wpp_name,wpp_location_code,region
1,Afghanistan,AFG,Afghanistan,Afghanistan,4,EMRO
2,Albania,ALB,Albania,Albania,8,EURO
3,Algeria,DZA,Algeria,Algeria,12,AFRO
4,Andorra,AND,Andorra,NA,NA,EURO
5,Angola,AGO,Angola,Angola,24,AFRO
6,Antigua and Barbuda,ATG,Antigua and Barbuda,Antigua and Barbuda,28,PAHO
7,Argentina,ARG,Argentina,Argentina,32,PAHO
8,Armenia,ARM,Armenia,Armenia,51,EURO
9,Australia,AUS,Australia,Australia,36,WPRO
10,Austria,AUT,Austria,Austria,40,EURO
11,Azerbaijan,AZE,Azerbaijan,Azerbaijan,31,EURO
12,Bahamas,BHS,The Bahamas,Bahamas,44,PAHO
13,Bahrain,BHR,Bahrain,Bahrain,48,EMRO
14,Bangladesh,BGD,Bangladesh,Bangladesh,50,SEARO
15,Barbados,BRB,Barbados,Barbados,52,PAHO
16,Belarus,BLR,Belarus,Belarus,112,EURO
17,Belgium,BEL,Belgium,Belgium,56,EURO
18,Belize,BLZ,Belize,Belize,84,PAHO
19,Benin,BEN,Benin,Benin,204,AFRO
20,Bhutan,BTN,Bhutan,Bhutan,64,SEARO
21,Bolivia (Plurinational State of),BOL,Bolivia,Bolivia (Plurinational State of),68,PAHO
22,Bosnia and Herzegovina,BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,70,EURO
23,Botswana,BWA,Botswana,Botswana,72,AFRO
24,Brazil,BRA,Brazil,Brazil,76,PAHO
25,Brunei Darussalam,BRN,Brunei,Brunei Darussalam,96,WPRO
26,Bulgaria,BGR,Bulgaria,Bulgaria,100,EURO
27,Burkina Faso,BFA,Burkina Faso,Burkina Faso,854,AFRO
28,Burundi,BDI,Burundi,Burundi,108,AFRO
29,Cabo Verde,CPV,Cape Verde,Cabo Verde,132,AFRO
30,Cambodia,KHM,Cambodia,Cambodia,116,WPRO
31,Cameroon,CMR,Cameroon,Cameroon,120,AFRO
32,Canada,CAN,Canada,Canada,124,PAHO
33,Central African Republic,CAF,Central African Republic,Central African Republic,140,AFRO
34,Chad,TCD,Chad,Chad,148,AFRO
35,Chile,CHL,Chile,Chile,152,PAHO
36,China,CHN,China,China,156,WPRO
