"","location_iso3","value","year"
"1","AFG",0.85,2030
"2","ALB",0.99,2030
"3","DZA",0.92,2030
"4","AND",0.99,2030
"5","AGO",0.82,2030
"6","ATG",0.96,2030
"7","ARG",0.89,2030
"8","ARM",0.93,2030
"9","AUS",0.96,2030
"10","AUT",0.91,2030
"11","AZE",0.96,2030
"12","BHS",0.94,2030
"13","BHR",0.99,2030
"14","BGD",0.98,2030
"15","BRB",0.94,2030
"16","BLR",0.99,2030
"17","BEL",0.98,2030
"18","BLZ",0.98,2030
"19","BEN",0.88,2030
"20","BTN",0.97,2030
"21","BOL",0.86,2030
"22","BIH",0.88,2030
"23","BWA",0.96,2030
"24","BRA",0.84,2030
"25","BRN",0.99,2030
"26","BGR",0.95,2030
"27","BFA",0.94,2030
"28","BDI",0.95,2030
"29","CPV",0.98,2030
"30","KHM",0.95,2030
"31","CMR",0.85,2030
"32","CAN",0.94,2030
"33","CAF",0.79,2030
"34","TCD",0.82,2030
"35","CHL",0.96,2030
"36","CHN",0.99,2030
"37","COL",0.96,2030
"38","COM",0.93,2030
"39","COG",0.89,2030
"40","COK",0.98,2030
"41","CRI",0.97,2030
"42","HRV",0.95,2030
"43","CUB",0.99,2030
"44","CYP",0.97,2030
"45","CZE",0.97,2030
"46","CIV",0.92,2030
"47","PRK",0.98,2030
"48","COD",0.89,2030
"49","DNK",0.99,2030
"50","DJI",0.9,2030
"51","DMA",0.99,2030
"52","DOM",0.93,2030
"53","ECU",0.92,2030
"54","EGY",0.97,2030
"55","SLV",0.89,2030
"56","GNQ",0.85,2030
"57","ERI",0.97,2030
"58","EST",0.94,2030
"59","SWZ",0.93,2030
"60","ETH",0.85,2030
"61","FJI",0.99,2030
"62","FIN",0.94,2030
"63","FRA",0.96,2030
"64","GAB",0.85,2030
"65","GMB",0.92,2030
"66","GEO",0.94,2030
"67","DEU",0.94,2030
"68","GHA",0.99,2030
"69","GRC",0.99,2030
"70","GRD",0.93,2030
"71","GTM",0.91,2030
"72","GIN",0.79,2030
"73","GNB",0.89,2030
"74","GUY",0.99,2030
"75","HTI",0.83,2030
"76","HND",0.94,2030
"77","HUN",0.99,2030
"78","ISL",0.95,2030
"79","IND",0.94,2030
"80","IDN",0.9,2030
"81","IRN",0.99,2030
"82","IRQ",0.92,2030
"83","IRL",0.95,2030
"84","ISR",0.98,2030
"85","ITA",0.97,2030
"86","JAM",0.97,2030
"87","JPN",0.98,2030
"88","JOR",0.94,2030
"89","KAZ",0.97,2030
"90","KEN",0.94,2030
"91","KIR",0.98,2030
"92","KWT",0.94,2030
"93","KGZ",0.95,2030
"94","LAO",0.88,2030
"95","LVA",0.99,2030
"96","LBN",0.92,2030
"97","LSO",0.91,2030
"98","LBR",0.89,2030
"99","LBY",0.85,2030
"100","LTU",0.93,2030
"101","LUX",0.99,2030
"102","MDG",0.86,2030
"103","MWI",0.97,2030
"104","MYS",0.98,2030
"105","MDV",0.98,2030
"106","MLI",0.88,2030
"107","MLT",0.99,2030
"108","MHL",0.92,2030
"109","MRT",0.9,2030
"110","MUS",0.97,2030
"111","MEX",0.89,2030
"112","FSM",0.94,2030
"113","MCO",0.99,2030
"114","MNG",0.98,2030
"115","MNE",0.91,2030
"116","MAR",0.99,2030
"117","MOZ",0.93,2030
"118","MMR",0.93,2030
"119","NAM",0.91,2030
"120","NRU",0.96,2030
"121","NPL",0.95,2030
"122","NLD",0.95,2030
"123","NZL",0.95,2030
"124","NIC",0.98,2030
"125","NER",0.92,2030
"126","NGA",0.82,2030
"127","NIU",0.99,2030
"128","MKD",0.94,2030
"129","NOR",0.97,2030
"130","OMN",0.99,2030
"131","PAK",0.9,2030
"132","PLW",0.97,2030
"133","PAN",0.93,2030
"134","PNG",0.69,2030
"135","PRY",0.92,2030
"136","PER",0.93,2030
"137","PHL",0.85,2030
"138","POL",0.95,2030
"139","PRT",0.99,2030
"140","QAT",0.98,2030
"141","KOR",0.99,2030
"142","MDA",0.95,2030
"143","ROU",0.93,2030
"144","RUS",0.98,2030
"145","RWA",0.98,2030
"146","KNA",0.98,2030
"147","LCA",0.94,2030
"148","VCT",0.97,2030
"149","WSM",0.94,2030
"150","SMR",0.93,2030
"151","STP",0.97,2030
"152","SAU",0.98,2030
"153","SEN",0.97,2030
"154","SRB",0.97,2030
"155","SYC",0.99,2030
"156","SLE",0.98,2030
"157","SGP",0.97,2030
"158","SVK",0.97,2030
"159","SVN",0.96,2030
"160","SLB",0.94,2030
"161","SOM",0.77,2030
"162","ZAF",0.91,2030
"163","SSD",0.76,2030
"164","ESP",0.96,2030
"165","LKA",0.99,2030
"166","SDN",0.95,2030
"167","SUR",0.86,2030
"168","SWE",0.99,2030
"169","CHE",0.97,2030
"170","SYR",0.88,2030
"171","TJK",0.98,2030
"172","THA",0.97,2030
"173","TLS",0.95,2030
"174","TGO",0.91,2030
"175","TON",0.99,2030
"176","TTO",0.94,2030
"177","TUN",0.99,2030
"178","TUR",0.99,2030
"179","TKM",0.99,2030
"180","TUV",0.94,2030
"181","UGA",0.95,2030
"182","UKR",0.88,2030
"183","ARE",0.99,2030
"184","GBR",0.94,2030
"185","TZA",0.94,2030
"186","USA",0.95,2030
"187","URY",0.94,2030
"188","UZB",0.98,2030
"189","VUT",0.93,2030
"190","VEN",0.88,2030
"191","VNM",0.93,2030
"192","YEM",0.86,2030
"193","ZMB",0.92,2030
"194","ZWE",0.93,2030
