"region","disease","year","total","incremental"
"AFRO","D",2021,219858.267545818,6178.09605974185
"AFRO","D",2022,229845.006077646,16164.8345915702
"AFRO","D",2023,239647.804334942,25967.6328488659
"AFRO","D",2024,249122.840270635,35442.6687845588
"AFRO","D",2025,258146.689430452,44466.5179443762
"AFRO","D",2026,266545.577483923,52865.4059978467
"AFRO","D",2027,274522.154710126,60841.9832240502
"AFRO","D",2028,282130.617671682,68450.4461856063
"AFRO","D",2029,289461.689067001,75781.5175809247
"AFRO","D",2030,296591.208870073,82911.0373839968
"AFRO","HPV",2021,151438.554329402,132694.396090805
"AFRO","HPV",2022,191632.802351931,172888.644113334
"AFRO","HPV",2023,217388.471562294,198644.313323697
"AFRO","HPV",2024,229592.421649862,210848.263411266
"AFRO","HPV",2025,247151.015636431,228406.857397834
"AFRO","HPV",2026,264105.499979691,245361.341741094
"AFRO","HPV",2027,282996.335212773,264252.176974177
"AFRO","HPV",2028,302616.587901641,283872.429663045
"AFRO","HPV",2029,322982.189702823,304238.031464226
"AFRO","HPV",2030,343860.76166483,325116.603426233
"AFRO","HepB",2021,303310.631645876,8510.97196657753
"AFRO","HepB",2022,316496.042895931,21696.3832166319
"AFRO","HepB",2023,330437.582365111,35637.9226858122
"AFRO","HepB",2024,343852.926108492,49053.266429193
"AFRO","HepB",2025,359157.773093494,64358.113414195
"AFRO","HepB",2026,377159.110662957,82359.4509836585
"AFRO","HepB",2027,408986.431397539,114186.77171824
"AFRO","HepB",2028,433419.780167744,138620.120488445
"AFRO","HepB",2029,452966.699139212,158167.039459913
"AFRO","HepB",2030,469252.932910768,174453.273231469
"AFRO","Hib",2021,99472.1844003346,3267.66854503079
"AFRO","Hib",2022,103955.903291374,7751.38743606968
"AFRO","Hib",2023,108351.572798452,12147.0569431478
"AFRO","Hib",2024,112628.955883947,16424.4400286429
"AFRO","Hib",2025,116757.89483518,20553.3789798766
"AFRO","Hib",2026,120665.610463904,24461.0946085998
"AFRO","Hib",2027,124437.895537703,28233.3796823988
"AFRO","Hib",2028,128081.806400061,31877.2905447571
"AFRO","Hib",2029,131611.665737223,35407.149881919
"AFRO","Hib",2030,135040.816321347,38836.3004660433
"AFRO","Measles",2021,781330.214533955,23848.1292236309
"AFRO","Measles",2022,820760.696093336,63278.6107830124
"AFRO","Measles",2023,858948.903389801,101466.818079477
"AFRO","Measles",2024,898163.512813835,140681.427503511
"AFRO","Measles",2025,936497.335057241,179015.249746917
"AFRO","Measles",2026,982606.086565979,225124.001255656
"AFRO","Measles",2027,1034481.29275183,276999.207441506
"AFRO","Measles",2028,1078372.89892646,320890.813616136
"AFRO","Measles",2029,1116924.47977524,359442.394464917
"AFRO","Measles",2030,1151487.23443964,394005.149129321
"AFRO","MenA",2021,4467.85366309453,203.138864944666
"AFRO","MenA",2022,4612.53389306929,347.81909491942
"AFRO","MenA",2023,4774.41255553268,509.697757382818
"AFRO","MenA",2024,4928.81200079355,664.09720264369
"AFRO","MenA",2025,5298.13008013905,1033.41528198919
"AFRO","MenA",2026,5637.35524066374,1372.64044251387
"AFRO","MenA",2027,12228.9128049078,7964.19800675791
"AFRO","MenA",2028,16576.1564544981,12311.4416563482
"AFRO","MenA",2029,19483.2315083567,15218.5167102069
"AFRO","MenA",2030,21466.2015750909,17201.486776941
"AFRO","P",2021,110341.315755081,3068.83705220868
"AFRO","P",2022,115216.284488704,7943.80578583127
"AFRO","P",2023,120013.264463501,12740.7857606282
"AFRO","P",2024,124648.730087566,17376.2513846932
"AFRO","P",2025,129052.547419314,21780.0687164408
"AFRO","P",2026,133133.726233204,25861.2475303315
"AFRO","P",2027,136996.425143111,29723.946440238
"AFRO","P",2028,140672.350707122,33399.8720042493
"AFRO","P",2029,144214.543856071,36942.065153198
"AFRO","P",2030,147666.836964779,40394.3582619068
"AFRO","PCV",2021,91147.6617953708,2991.66886969932
"AFRO","PCV",2022,94824.928594489,6668.93566881752
"AFRO","PCV",2023,98462.9010617949,10306.9081361234
"AFRO","PCV",2024,102030.083500281,13874.0905746096
"AFRO","PCV",2025,105485.871243652,17329.8783179807
"AFRO","PCV",2026,108803.009560519,20647.0166348477
"AFRO","PCV",2027,114577.422093347,26421.4291676759
"AFRO","PCV",2028,119435.677937626,31279.6850119541
"AFRO","PCV",2029,123659.518014418,35503.5250887467
"AFRO","PCV",2030,127441.553365734,39285.5604400626
"AFRO","Rota",2021,17748.1593422579,605.27280463721
"AFRO","Rota",2022,18497.3131936097,1354.42665598902
"AFRO","Rota",2023,19212.7114526171,2069.8249149964
"AFRO","Rota",2024,19891.6070893394,2748.72055171874
"AFRO","Rota",2025,20530.9685115306,3388.08197390991
"AFRO","Rota",2026,21190.13544173,4047.24890410938
"AFRO","Rota",2027,33164.2664003143,16021.3798626936
"AFRO","Rota",2028,41488.0355469669,24345.1490093462
"AFRO","Rota",2029,47374.4822250145,30231.5956873938
"AFRO","Rota",2030,51634.4315983302,34491.5450607096
"AFRO","Rubella",2021,4617.86695849535,147.774886193423
"AFRO","Rubella",2022,4801.72090621879,331.628833916867
"AFRO","Rubella",2023,5012.06950004337,541.977427741438
"AFRO","Rubella",2024,5372.65412775317,902.562055451243
"AFRO","Rubella",2025,5957.20833742623,1487.1162651243
