"v_at_id","location_id","age","sex_id","year","value","location_name","location_iso3","vaccine","activity_type"
2,1,9,2,2020,0,"Afghanistan","AFG","HPV","routine"
2,1,9,2,2021,0,"Afghanistan","AFG","HPV","routine"
2,1,9,2,2022,0,"Afghanistan","AFG","HPV","routine"
2,1,9,2,2023,0,"Afghanistan","AFG","HPV","routine"
2,1,9,2,2024,0,"Afghanistan","AFG","HPV","routine"
2,1,9,2,2025,0.72,"Afghanistan","AFG","HPV","routine"
2,1,9,2,2026,0.69,"Afghanistan","AFG","HPV","routine"
2,1,9,2,2027,0.7425,"Afghanistan","AFG","HPV","routine"
2,1,9,2,2028,0.795,"Afghanistan","AFG","HPV","routine"
2,1,9,2,2029,0.8475,"Afghanistan","AFG","HPV","routine"
2,1,9,2,2030,0.9,"Afghanistan","AFG","HPV","routine"
2,2,10,2,2020,0,"Albania","ALB","HPV","routine"
2,2,10,2,2021,0.6,"Albania","ALB","HPV","routine"
2,2,10,2,2022,0.86,"Albania","ALB","HPV","routine"
2,2,10,2,2023,0.86,"Albania","ALB","HPV","routine"
2,2,10,2,2024,0.86,"Albania","ALB","HPV","routine"
2,2,10,2,2025,0.86,"Albania","ALB","HPV","routine"
2,2,10,2,2026,0.86,"Albania","ALB","HPV","routine"
2,2,10,2,2027,0.87,"Albania","ALB","HPV","routine"
2,2,10,2,2028,0.88,"Albania","ALB","HPV","routine"
2,2,10,2,2029,0.89,"Albania","ALB","HPV","routine"
2,2,10,2,2030,0.9,"Albania","ALB","HPV","routine"
2,3,10,2,2020,0,"Algeria","DZA","HPV","routine"
2,3,10,2,2021,0,"Algeria","DZA","HPV","routine"
2,3,10,2,2022,0,"Algeria","DZA","HPV","routine"
2,3,10,2,2023,0,"Algeria","DZA","HPV","routine"
2,3,10,2,2024,0,"Algeria","DZA","HPV","routine"
2,3,10,2,2025,0.72,"Algeria","DZA","HPV","routine"
2,3,10,2,2026,0.9,"Algeria","DZA","HPV","routine"
2,3,10,2,2027,0.9,"Algeria","DZA","HPV","routine"
2,3,10,2,2028,0.9,"Algeria","DZA","HPV","routine"
2,3,10,2,2029,0.9,"Algeria","DZA","HPV","routine"
2,3,10,2,2030,0.9,"Algeria","DZA","HPV","routine"
2,5,9,2,2020,0,"Angola","AGO","HPV","routine"
2,5,9,2,2021,0.36,"Angola","AGO","HPV","routine"
2,5,9,2,2022,0.42,"Angola","AGO","HPV","routine"
2,5,9,2,2023,0.42,"Angola","AGO","HPV","routine"
2,5,9,2,2024,0.43,"Angola","AGO","HPV","routine"
2,5,9,2,2025,0.43,"Angola","AGO","HPV","routine"
2,5,9,2,2026,0.43,"Angola","AGO","HPV","routine"
2,5,9,2,2027,0.5475,"Angola","AGO","HPV","routine"
2,5,9,2,2028,0.665,"Angola","AGO","HPV","routine"
2,5,9,2,2029,0.7825,"Angola","AGO","HPV","routine"
2,5,9,2,2030,0.9,"Angola","AGO","HPV","routine"
2,6,9,1,2020,0.63,"Antigua and Barbuda","ATG","HPV","routine"
2,6,9,1,2021,0.7,"Antigua and Barbuda","ATG","HPV","routine"
2,6,9,1,2022,0.7,"Antigua and Barbuda","ATG","HPV","routine"
