"year","mean","lower","upper","column_text"
2021,4384694.05300636,3591564.85917772,5126257.25192188,"4.4 (3.6-5.1)"
2022,4560814.38220864,3698048.55017581,5408603.00151665,"4.6 (3.7-5.4)"
2023,4704335.78646253,3924040.146514,5463271.08198352,"4.7 (3.9-5.5)"
2024,4844361.82247925,4119062.23654961,5605562.74264038,"4.8 (4.1-5.6)"
2025,5032844.777531,4192739.56590585,5887855.2919842,"5 (4.2-5.9)"
2026,5183849.49460427,4501844.05659957,5916423.04849759,"5.2 (4.5-5.9)"
2027,5365040.24808993,4615715.57481312,6303198.08829962,"5.4 (4.6-6.3)"
2028,5518047.20708647,4707641.77920991,6336353.19639798,"5.5 (4.7-6.3)"
2029,5650019.75606349,4883121.6057716,6405725.91296411,"5.7 (4.9-6.4)"
2030,5765977.89204355,4921227.81084645,6613835.14499144,"5.8 (4.9-6.6)"
9999,51009985.4195755,48478810.0232482,53702873.2674767,"51 (48.5-53.7)"
