"year","mean","lower","upper","column_text"
2011,3537114.41682432,2704828.24996775,4377380.10788681,"3.5 (2.7-4.4)"
2012,3602782.20273706,2810808.16661072,4399535.45293732,"3.6 (2.8-4.4)"
2013,3689244.10932568,2922674.12669956,4561912.99406958,"3.7 (2.9-4.6)"
2014,3795537.18152283,3017101.88583997,4612181.58651296,"3.8 (3-4.6)"
2015,3885245.14051835,3094574.91554679,4608710.214874,"3.9 (3.1-4.6)"
2016,4059015.18185603,3341847.98505654,4848173.405377,"4.1 (3.3-4.8)"
2017,4225211.62200389,3550422.73626693,4828264.64717807,"4.2 (3.6-4.8)"
2018,4151495.75672553,3460557.50987791,4901194.34277614,"4.2 (3.5-4.9)"
2019,4195497.25050754,3433425.89095204,4860942.39171139,"4.2 (3.4-4.9)"
2020,4330931.77798556,3598638.33513889,5050648.55717516,"4.3 (3.6-5.1)"
9999,39472074.6400068,36675110.709566,42358811.4577654,"39.5 (36.7-42.4)"
