"disease","year","deaths_averted"
"D",2021,64.9321747576452
"D",2022,244.173255891715
"D",2023,403.303524807965
"D",2024,550.097338604663
"D",2025,690.184470006864
"D",2026,829.548133913059
"D",2027,961.591172362641
"D",2028,1085.16520198748
"D",2029,1198.73870016354
"D",2030,1301.42696428909
"HPV",2021,168849.764638067
"HPV",2022,241443.806264052
"HPV",2023,280635.827356795
"HPV",2024,313747.092405128
"HPV",2025,402354.851163957
"HPV",2026,444500.078160034
"HPV",2027,470566.006346249
"HPV",2028,497132.190938558
"HPV",2029,524129.132379102
"HPV",2030,551569.751294662
"HepB",2021,-14865.6973430862
"HepB",2022,1419.4116532152
"HepB",2023,16881.4616786322
"HepB",2024,32481.7778750769
"HepB",2025,49533.5247053943
"HepB",2026,70248.3133237392
"HepB",2027,107917.227199856
"HepB",2028,137030.406889995
"HepB",2029,159831.84100691
"HepB",2030,177697.994737026
"Hib",2021,3461.01928134011
"Hib",2022,8858.1341955161
"Hib",2023,13915.526036286
"Hib",2024,24389.1755300136
"Hib",2025,31938.4743452522
"Hib",2026,37986.2541807882
"Hib",2027,43243.3383650196
"Hib",2028,48027.6303402511
"Hib",2029,52445.3197833057
"Hib",2030,56531.9595103636
"JE",2021,5.6114256722919
"JE",2022,-37.2318977991267
"JE",2023,3369.32855977447
"JE",2024,6297.66114092546
"JE",2025,7858.00365052814
"JE",2026,8717.54159522076
"JE",2027,9583.76727489376
"JE",2028,10089.320558682
"JE",2029,10362.2792768103
"JE",2030,10478.460258747
"Measles",2021,19110.1605823421
"Measles",2022,65155.4264663154
"Measles",2023,107499.496896011
"Measles",2024,150579.397463772
"Measles",2025,193170.341561954
"Measles",2026,244814.192440044
"Measles",2027,304350.840544483
"Measles",2028,356052.708366725
"Measles",2029,401174.561284065
"Measles",2030,440948.03644632
"MenA",2021,248.422648873102
"MenA",2022,436.294737543838
"MenA",2023,640.418202999273
"MenA",2024,836.627004382934
"MenA",2025,1247.6559307962
"MenA",2026,1628.90032349414
"MenA",2027,8292.03208919734
"MenA",2028,12701.6587346042
"MenA",2029,15663.247452566
"MenA",2030,17693.8663764398
"P",2021,3484.13136450441
"P",2022,12421.3960960179
"P",2023,20713.2184474159
"P",2024,28564.814334328
"P",2025,36116.2734723936
"P",2026,43485.4613011985
"P",2027,50563.6419279304
"P",2028,57312.1140300291
"P",2029,63675.6181463812
"P",2030,69621.4192503687
"PCV",2021,2922.55665123325
"PCV",2022,18191.6951906528
"PCV",2023,35913.2495644252
"PCV",2024,49058.0606665644
"PCV",2025,59712.4011809336
"PCV",2026,68362.1425616824
"PCV",2027,80140.4931333068
"PCV",2028,89322.5937020733
"PCV",2029,96654.0128983675
"PCV",2030,102623.994128956
"Rota",2021,694.157856214028
"Rota",2022,3618.88632026949
"Rota",2023,7309.96777992173
"Rota",2024,10399.0484165709
"Rota",2025,13265.2381281396
"Rota",2026,15724.3103845168
"Rota",2027,30730.1817970995
"Rota",2028,41055.9182604348
"Rota",2029,48285.5338606088
"Rota",2030,53457.4571517308
"Rubella",2021,-241.241916760735
"Rubella",2022,52.1983531285444
"Rubella",2023,354.165354161115
"Rubella",2024,909.381967300169
"Rubella",2025,1616.59573730706
"Rubella",2026,3148.16848700076
"Rubella",2027,6126.04278456879
"Rubella",2028,8208.58061489728
"Rubella",2029,9671.77968304496
"Rubella",2030,10700.6205181153
"T",2021,222.111791648714
"T",2022,811.088853017399
"T",2023,1337.89652494844
"T",2024,1831.19206865496
"T",2025,2311.73110673539
"T",2026,2798.54174162352
"T",2027,3272.68439589861
"T",2028,3727.31712068771
"T",2029,4152.09455463274
"T",2030,4539.92537184969
"TB",2021,1257.16114575968
"TB",2022,2748.59092707211
"TB",2023,4145.5522437698
"TB",2024,5483.47204257412
"TB",2025,6788.07972066237
"TB",2026,8072.94795210004
"TB",2027,9322.62830444237
"TB",2028,10530.3037380171
"TB",2029,11687.5369096488
"TB",2030,12788.7350559398
"YF",2021,4313.78648042713
"YF",2022,10279.0497431349
"YF",2023,16044.9122419791
"YF",2024,23883.5766914358
"YF",2025,30744.1718493939
"YF",2026,38035.8435113772
"YF",2027,44472.5222470855
"YF",2028,50274.0480819922
"YF",2029,55590.8096203379
"YF",2030,60526.9944712052
