"disease","mean","lower","upper","column_text","percent"
"D",155740.516093504,59357.232308189,307667.265877981,"0.2 (0.1-0.3)",0.3
"HPV",4653820.7836372,292899.108334573,15680603.7548357,"4.7 (0.3-15.7)",9
"HepB",13972357.8196019,11538336.4406763,16865254.1645635,"14 (11.5-16.9)",27.1
"Hib",2294454.12426393,1289210.80519323,3929393.88803746,"2.3 (1.3-3.9)",4.5
"JE",123018.787900358,80266.0242921699,182248.255591378,"0.1 (0.1-0.2)",0.2
"Measles",18808802.7967759,17844816.2989361,19957388.6307499,"18.8 (17.8-20)",36.5
"MenA",117199.318899121,14171.0781309314,356965.724073363,"0.1 (0-0.4)",0.2
"P",5024710.00182946,2285642.44402285,8610302.28310639,"5 (2.3-8.6)",9.7
"PCV",1968405.17365489,1187579.14154637,3729404.58971617,"2 (1.2-3.7)",3.8
"Rota",534722.093582177,307682.783378155,921583.4226908,"0.5 (0.3-0.9)",1
"Rubella",491418.812404723,375809.25004154,649813.489791185,"0.5 (0.4-0.6)",1
"T",446159.7863514,144553.468880885,803658.291552535,"0.4 (0.1-0.8)",0.9
"TB",1232623.1127421,239750.581528485,3481979.26050156,"1.2 (0.2-3.5)",2.4
"YF",1725028.70172725,1398532.27990294,2147235.25384407,"1.7 (1.4-2.1)",3.3
