"location_iso3","disease","impact_factor","total_fvps","total_deaths_averted"
"AFG","D",0.000213535462861381,12410222.2,2650.02254168959
"AFG","P",0.00601788574682057,12410222.2,74683.2992922562
"AFG","T",0.000694652793561397,12410222.2,8620.79551994766
"AFG","TB",0.00144542007802254,13773691.93,19908.770864119
"AGO","D",0.000221111249109346,9740645.12,2153.76620961405
"AGO","P",0.00851660954386841,9740645.12,82957.2711924272
"AGO","T",0.000620322336375477,9740645.12,6042.33973864279
"AGO","TB",0.00271663442947494,12547158.51,34086.0428003454
"ALB","D",1.58280280604953e-05,761900.76,12.0593866085927
"ALB","P",0.000780687597355037,761900.76,594.806473747377
"ALB","T",9.28476280451368e-05,761900.76,70.7406783717871
"ALB","TB",5.80228820560323e-05,753813.96,43.7384584932707
"AND","D",NA,0,0
"AND","P",NA,0,0
"AND","T",NA,0,0
"AND","TB",NA,0,0
"ARE","D",0.000206713702512677,1592467.38,329.184828250463
"ARE","P",0.00321134195473603,1592467.38,5113.95730894257
"ARE","T",0.000288044432144673,1592467.38,458.701362181015
"ARE","TB",0.000715708567104573,1600474.86,1145.47356873749
"ARG","D",4.63361645335994e-05,13355600.59,618.847306383277
"ARG","P",0.00140914298407339,13355600.59,18819.950869485
"ARG","T",0.000165169286859717,13355600.59,2205.93502503351
"ARG","TB",0.000157589485619826,14162406.1,2231.84629243809
"ARM","D",3.35577424265804e-05,761809.88,25.5646197310641
"ARM","P",0.00130364125969225,761809.88,993.126791609203
"ARM","T",0.000137801119427617,761809.88,104.978254255018
"ARM","TB",0.000125783444796051,796360.9,100.169017302884
"ATG","D",6.68060920991038e-05,28990.84,1.93676472707038
"ATG","P",0.00167261146221657,28990.84,48.4904112832865
"ATG","T",0.00018769668689517,28990.84,5.44148461830797
"ATG","TB",NA,0,0
"AUS","D",4.529268977835e-06,5311208.18,24.0558904444975
"AUS","P",0.000186065070334038,5311208.18,988.230323570418
"AUS","T",3.02297933712725e-05,5311208.18,160.556725833212
"AUS","TB",NA,0,0
"AUT","D",5.59907102039676e-06,1387205.92,7.76706446599483
"AUT","P",0.000211016894854268,1387205.92,292.723885761858
"AUT","T",3.31009251507352e-05,1387205.92,45.9177993265767
"AUT","TB",NA,0,0
"AZE","D",9.36866101848055e-05,2642370.37,247.55472281807
"AZE","P",0.00307480469698813,2642370.37,8124.77282485826
"AZE","T",0.000275896953139982,2642370.37,729.021934150367
"AZE","TB",0.000468663671811108,2841815.24,1331.85556498717
"BDI","D",6.28166676028501e-05,6153778.8,386.559877381066
"BDI","P",0.00547579050339491,6153778.8,33696.8035130329
"BDI","T",0.000357005407863158,6153778.8,2196.93231039366
"BDI","TB",0.00116980263556958,6256136.16,7318.44456845014
"BEL","D",6.10584019373389e-06,2380149.99,14.5328154760573
"BEL","P",0.000237762449247084,2380149.99,565.910291197824
"BEL","T",3.42260914205677e-05,2380149.99,81.4632311524033
"BEL","TB",NA,0,0
"BEN","D",5.8209451195572e-05,4979112.48,289.831404901823
"BEN","P",0.00438685193950204,4979112.48,21842.6292398868
"BEN","T",0.000325358362029975,4979112.48,1619.99588085581
"BEN","TB",0.000975293611739946,5976372.29,5828.71771581663
"BFA","D",4.58454765037862e-05,10204278.02,467.819988204012
"BFA","P",0.0029101834979685,10204278.02,29696.3215024867
"BFA","T",0.000307090784917713,10204278.02,3133.63974668036
"BFA","TB",0.000481847015608141,11470794.26,5527.16798083599
"BGD","D",0.000123996461776077,57550406,7136.04671777671
"BGD","P",0.00386518000569506,57550406,222442.678590833
"BGD","T",0.00044460770206185,57550406,25587.3537643865
"BGD","TB",0.000713529725891356,59899010.84,42739.7247858286
"BGR","D",3.51947454906987e-05,1291889.74,45.467730601345
"BGR","P",0.00110606300159477,1291889.74,1428.91144355389
"BGR","T",0.000123570430819274,1291889.74,159.6393717428
"BGR","TB",0.000117675076867301,1342250.8,157.949466065196
"BHR","D",3.88872219717011e-05,356266.42,13.8542113556033
"BHR","P",0.00122401043112386,356266.42,436.073814339154
"BHR","T",0.000135732612631537,356266.42,48.3569719794843
"BHR","TB",NA,0,0
"BHS","D",0.000177588103811155,102813.06,18.2583763724225
"BHS","P",0.00343996789678511,102813.06,353.673625770241
"BHS","T",0.000368989938691064,102813.06,37.9369847060407
"BHS","TB",NA,0,0
"BIH","D",2.00596161599431e-05,569612.12,11.4262004872515
"BIH","P",0.000613537588592484,569612.12,349.478446537853
"BIH","T",8.23173294852061e-05,569612.12,46.8889485608067
"BIH","TB",5.48328032275775e-05,631462.25,34.6248452998933
"BLR","D",1.9878148979154e-05,1995982.86,39.6764446509179
