"year","total","Measure"
2020,4325833.98102848,"Total"
2021,4379630.57418177,"Total"
2022,4555756.94143411,"Total"
2023,4699290.90928582,"Total"
2024,4839332.12706374,"Total"
2025,5027830.16006146,"Total"
2026,5178849.99029929,"Total"
2027,5360053.37751089,"Total"
2028,5513071.57764253,"Total"
2029,5645055.41016888,"Total"
2030,5761025.76508436,"Total"
2020,175378.870117691,"Incremental"
2021,229175.463270979,"Incremental"
2022,405301.830523319,"Incremental"
2023,548835.798375028,"Incremental"
2024,688877.016152948,"Incremental"
2025,877375.049150674,"Incremental"
2026,1028394.8793885,"Incremental"
2027,1209598.2666001,"Incremental"
2028,1362616.46673174,"Incremental"
2029,1494600.29925809,"Incremental"
2030,1610570.65417356,"Incremental"
