"year","location_name","total","all","prop"
2021,"Angola",23405.172124703,1671704.92405473,0.0140007795561992
2021,"China",86625.2039870536,1671704.92405473,0.0518184774959827
2021,"Democratic Republic of the Congo",98038.9006468287,1671704.92405473,0.0586460560330436
2021,"Ethiopia",71074.894152267,1671704.92405473,0.0425164113173001
2021,"India",258228.132050296,1671704.92405473,0.15446992368962
2021,"Niger",30086.1353772271,1671704.92405473,0.0179972762802259
2021,"Nigeria",180217.455032517,1671704.92405473,0.107804584672394
2021,"Pakistan",147655.775838924,1671704.92405473,0.0883264586436607
2021,"Uganda",38777.7509389493,1671704.92405473,0.0231965285146697
2021,"United Republic of Tanzania",30876.8624403761,1671704.92405473,0.0184702826414389
2021,"Top 10",964986.282589142,1671704.92405473,0.577246778844535
2022,"Angola",26927.1394864614,1717750.18993871,0.0156758180812206
2022,"China",84637.3848863276,1717750.18993871,0.0492722314234456
2022,"Democratic Republic of the Congo",100161.086324797,1717750.18993871,0.0583094601947743
2022,"Ethiopia",76408.2574425384,1717750.18993871,0.0444815887025254
2022,"India",258388.757533595,1717750.18993871,0.15042277919516
2022,"Niger",32115.569673539,1717750.18993871,0.0186962981355775
2022,"Nigeria",189586.841577226,1717750.18993871,0.110369274116623
2022,"Pakistan",150199.105779533,1717750.18993871,0.0874394348254401
2022,"Uganda",39499.3216108414,1717750.18993871,0.0229947997340934
2022,"United Republic of Tanzania",31540.678244397,1717750.18993871,0.0183616211653701
2022,"Top 10",989464.142559255,1717750.18993871,0.57602330557423
2023,"Angola",30332.3044063999,1760094.2603684,0.0172333409007601
2023,"China",82763.7050475302,1760094.2603684,0.0470223140380033
2023,"Democratic Republic of the Congo",102355.27828695,1760094.2603684,0.0581532936000406
2023,"Ethiopia",81334.0582123104,1760094.2603684,0.0462100582018184
2023,"India",256585.595341185,1760094.2603684,0.145779462565533
2023,"Niger",34109.6481621913,1760094.2603684,0.0193794440049204
2023,"Nigeria",199014.3523626,1760094.2603684,0.113070280861517
2023,"Pakistan",151746.688158471,1760094.2603684,0.0862150917569094
2023,"Uganda",40095.2222295152,1760094.2603684,0.0227801562293163
2023,"United Republic of Tanzania",32175.3155241366,1760094.2603684,0.018280450228502
2023,"Top 10",1010512.16773129,1760094.2603684,0.574123892387321
2024,"Angola",33563.4723846142,1803174.16093616,0.018613549989641
2024,"China",81029.9858439367,1803174.16093616,0.0449374151423443
