location_name,nx,BCG,D,HPV,HepB,Hib,JE,Measles,MenA,P,PCV,Rota,Rubella,T,YF
India,23904724,0.92,0.91,0,0.73435,0.9092,0.3827,0.94167559,0,0.91,0.0877,0.4427,0.9167,0.91,0
China,16446861,0.99,0.99,0,0.99,0,0,1,0,0.99,0,0,0.99,0.99,0
Nigeria,6995903,0.76,0.63,0,0.63,0.613,0,1,0.536786007,0.63,0.6044,0,0,0.63,0.730849138
Pakistan,5773161,0.88,0.75,0,0.7618,0.7622,0,1,0,0.75,0.8047,0.6641,0,0.75,0
Indonesia,4576433,0.98,0.92,0,0.85,0.8325,0.014546714,0.967386306,0,0.92,0.115,0,0.6824,0.92,0
United States of America,3931967,0,0.96,0.916197048,0.94,0.94,0,0.93,0,0.96,0.94,0.74,0.93,0.96,0
Ethiopia,3442128,0.8,0.69,0,0.7308,0.7308,0,0.993100319,0.668970995,0.69,0.7099,0.8101,0,0.69,0
Democratic Republic of the Congo,3276369,0.85,0.75,0,0.8175,0.816,0,0.97793716,0.337526309,0.75,0.8415,0,0,0.75,0.8334
Brazil,2912645,0.99,0.99,0.99963838,0.99,0.99,0,0.99,0.84,0.99,0.94,0.94,0.99,0.99,0.6
Bangladesh,2874791,0.99,0.99,0,0.9802,0.9801,0,1,0,0.99,0.9726,0,1,0.99,0
Egypt,2407887,0.99,0.99,0,0.99,0.9505,0,1,0,0.99,0,0,1,0.99,0
Mexico,2166674,0.99,0.99,0.999999999,0.99,0.99,0,0.99,0,0.99,0.99,0.99,0.99,0.99,0
United Republic of Tanzania,2008454,0.99,0.97,0,0.9812,0.9808,0,1,0,0.97,0.9811,0.9811,1,0.97,0
Philippines,1988270,0.93,0.91,0,0.77,0.89,0,1,0,0.91,0.4537,0.28,0.998399652,0.91,0
Russian Federation,1799828,0.97,0.98,0,0.98,0,0,0.99,0,0.98,0.85,0,0.99,0.98,0
Viet Nam,1599144,0.98,0.99,0,0.94,0.97,0.995,0.9999999,0,0.99,0,0,0.989987725,0.99,0
Uganda,1592407,0.97,0.94,0.454,0.94,0.94,0,1,0.244510686,0.94,0.9301,0.4272,0,0.94,0
Iran (Islamic Republic of),1590244,0.99,0.99,0,0.99,0.99,0,0.99,0,0.99,0,0,0.99,0.99,0
Kenya,1399589,0.99,0.96,0,0.96,0.96,0,1,0,0.96,0.85,0.815,1,0.96,0.02
