"","disease","year","target_deaths_averted","observed_deaths_averted","gap","region"
"1","D",2019,14924.7419489935,14924.7419489935,0,"Global"
"2","D",2020,14803.0741763916,14232.2990949661,-570.775081425452,"Global"
"3","D",2021,14682.8018964877,13744.8784368841,-937.923459603579,"Global"
"4","HPV",2019,18404.8710408952,18404.8710408952,0,"Global"
"5","HPV",2021,171814.397693558,NA,NA,"Global"
"6","HPV",2020,131963.944119607,NA,NA,"Global"
"7","HepB",2019,1303623.90856321,1303623.90856321,0,"Global"
"8","HepB",2020,1277476.10578351,1260417.31273863,-17058.7930448868,"Global"
"9","HepB",2021,1211979.92283227,1166131.03613288,-45848.8866993857,"Global"
"10","Hib",2019,202102.761665062,202102.761665062,0,"Global"
"11","Hib",2020,203148.909890023,192906.013504736,-10242.8963852875,"Global"
"12","Hib",2021,204224.557493045,190086.622901933,-14137.9345911119,"Global"
"13","JE",2019,5487.43429391146,5487.43429391146,0,"Global"
"14","JE",2020,5397.9079060269,NA,NA,"Global"
"15","JE",2021,5325.39269344001,NA,NA,"Global"
"16","Measles",2019,1680570.16203474,1680570.16203474,0,"Global"
"17","Measles",2020,1681190.07695272,1622566.69814346,-58623.3788092567,"Global"
"18","Measles",2021,1674905.31950154,1581226.26108427,-93679.0584172662,"Global"
"19","MenA",2019,6089.69389971624,6089.69389971624,0,"Global"
"20","MenA",2020,6226.39896008304,5419.54937251962,-806.849587563414,"Global"
"21","MenA",2021,6350.91207620032,NA,NA,"Global"
"22","P",2019,468721.908049262,468721.908049262,0,"Global"
"23","P",2020,466623.968673665,453074.857426394,-13549.1112472709,"Global"
"24","P",2021,463881.058877455,439246.29501988,-24634.763857575,"Global"
"25","PCV",2019,141460.025661258,141460.025661258,0,"Global"
"26","PCV",2020,143285.486397255,137961.993047144,-5323.49335011133,"Global"
"27","PCV",2021,144850.178782077,135626.718342811,-9223.46043926617,"Global"
"28","Rota",2019,31783.3887873534,31783.3887873534,0,"Global"
"29","Rota",2020,32022.9428398746,NA,NA,"Global"
"30","Rota",2021,32230.5720521353,NA,NA,"Global"
"31","Rubella",2019,44465.8606549181,44465.8606549181,0,"Global"
"32","Rubella",2020,43596.0783134626,43257.0656253715,-339.01268809109,"Global"
"33","Rubella",2021,42636.7340842471,41643.0473295764,-993.6867546707,"Global"
"34","T",2019,42434.1189057742,42434.1189057742,0,"Global"
"35","T",2020,42158.6534988422,40824.0840906036,-1334.56940823865,"Global"
"36","T",2021,41805.1315029801,39464.6286140912,-2340.50288888887,"Global"
"37","TB",2019,117690.627139496,117690.627139496,0,"Global"
"38","TB",2020,117448.373494537,114799.543915197,-2648.82957934013,"Global"
"39","TB",2021,117204.691085144,110788.355134864,-6416.33595028,"Global"
"40","YF",2019,145813.162852397,145813.162852397,0,"Global"
"41","YF",2020,148172.940656353,125341.878401354,-22831.0622549992,"Global"
"42","YF",2021,150513.241433891,123749.298968903,-26763.9424649883,"Global"
"43","D",2019,1779.23172658689,1779.23172658689,0,"EMRO"
