"location_iso3","year","age","sex_id","vaccine","observed_coverage","disease","impact_factor","target_fvps","target_deaths_averted","old_pop","new_pop","target_coverage","observed_fvps","observed_deaths_averted","location_name","region","income_group"
"AFG",2019,0,3,"BCG",0.86,"TB",0.00144542007802254,1015847.82,1468.32683524343,1158820,1302369,0.78,1120037.34,1618.92445937096,"Afghanistan","EMRO","Low income"
"AFG",2019,0,3,"DTP3",0.72,"D",0.000213535462861381,859563.54,183.547298372667,1158820,1302369,0.66,937705.68,200.233416406546,"Afghanistan","EMRO","Low income"
"AFG",2019,0,3,"DTP3",0.72,"P",0.00601788574682057,859563.54,5172.75517585263,1158820,1302369,0.66,937705.68,5643.00564638469,"Afghanistan","EMRO","Low income"
"AFG",2019,0,3,"DTP3",0.72,"T",0.000694652793561397,859563.54,597.098214304523,1158820,1302369,0.66,937705.68,651.379870150389,"Afghanistan","EMRO","Low income"
"AFG",2019,0,3,"HepB",0.72,"HepB",0.00428499952276539,869982.492,3727.87456303425,1158820,1302369,0.668,937705.68,4018.0683912944,"Afghanistan","EMRO","Low income"
"AFG",2019,0,3,"HepB_BD",0.36,"HepB",0.000914165550724063,275581.2804,251.926912966108,1158820,1302369,0.2116,468852.84,428.609114687141,"Afghanistan","EMRO","Low income"
"AFG",2019,0,3,"Hib3",0.72,"Hib",0.0042478401733636,870242.9658,3696.65303071233,1158820,1302369,0.6682,937705.68,3983.22385829523,"Afghanistan","EMRO","Low income"
"AFG",2019,0,3,"MCV1",0.64,"Measles",0.0166831142725156,850577.1939,14190.2765234294,1158820,1302369,0.6531,833516.16,13905.6453452684,"Afghanistan","EMRO","Low income"
"AFG",2019,0,3,"PCV3",0.68,"PCV",0.00407474086762845,884699.2617,3604.92023720971,1158820,1302369,0.6793,885610.92,3608.63500854203,"Afghanistan","EMRO","Low income"
"AFG",2019,0,3,"Rota",0.58,"Rota",0.00139639288512783,837683.7408,1169.73561564039,1158820,1302369,0.6432,755374.02,1054.79890713841,"Afghanistan","EMRO","Low income"
"AFG",2019,2,3,"MCV2",0.41,"Measles",0.0020672064900178,511005.781,1056.35446691981,1125905,1235806,0.4135,506680.46,1047.4131352772,"Afghanistan","EMRO","Low income"
"AFG",2020,0,3,"BCG",0.87,"TB",0.00144542007802254,1033499.22,1493.84052320863,1169006,1324999,0.78,1152749.13,1666.20673742502,"Afghanistan","EMRO","Low income"
"AFG",2020,0,3,"DTP3",0.7,"D",0.000213535462861381,874499.34,186.736621338872,1169006,1324999,0.66,927499.3,198.053992329107,"Afghanistan","EMRO","Low income"
"AFG",2020,0,3,"DTP3",0.7,"P",0.00601788574682057,874499.34,5262.63711379,1169006,1324999,0.66,927499.3,5581.58481765606,"Afghanistan","EMRO","Low income"
"AFG",2020,0,3,"DTP3",0.7,"T",0.000694652793561397,874499.34,607.473409498598,1169006,1324999,0.66,927499.3,644.28997977124,"Afghanistan","EMRO","Low income"
