"","disease","year","target_deaths_averted","observed_deaths_averted","gap","region"
"1","D",2019,14924.7419489935,15154.020653675,229.278704681523,"Global"
"2","D",2020,14803.0741763916,14286.4794618695,-516.594714522087,"Global"
"3","D",2021,14682.8018964877,13767.4079185586,-915.39397792903,"Global"
"4","D",2022,14854.9192455017,14774.1504802032,-80.7687652985333,"Global"
"5","HPV",2019,52259.9737837066,62267.3378855493,10007.3641018427,"Global"
"6","HPV",2021,120869.999931431,57236.8476790839,-63633.1522523469,"Global"
"7","HPV",2022,157079.346564267,80613.2057482555,-76466.1408160117,"Global"
"8","HPV",2020,98482.0078432733,61299.0747955099,-37182.9330477634,"Global"
"9","HepB",2019,1303623.90856321,1318138.98626424,14515.0777010357,"Global"
"10","HepB",2020,1277476.10578351,1268243.17837009,-9232.92741342192,"Global"
"11","HepB",2021,1211979.92283227,1174963.04920749,-37016.8736247777,"Global"
"12","HepB",2022,1201259.0075209,1183823.33603218,-17435.6714887284,"Global"
"13","Hib",2019,202102.761665062,202805.516928218,702.755263155996,"Global"
"14","Hib",2020,203148.909890023,195827.825129114,-7321.08476090943,"Global"
"15","Hib",2021,204224.557493045,192552.024864023,-11672.5326290222,"Global"
"16","Hib",2022,210183.005789523,200797.756644863,-9385.24914465906,"Global"
"17","JE",2019,5487.43429391146,11324.6277184725,5837.19342456107,"Global"
"18","JE",2020,5397.9079060269,9726.98539877233,4329.07749274543,"Global"
"19","JE",2021,5325.39269344001,8929.18598913594,3603.79329569592,"Global"
"20","JE",2022,5325.90052569179,10164.0868977552,4838.18637206346,"Global"
"21","Measles",2019,1681329.1065677,1656417.25863495,-24911.8479327499,"Global"
"22","Measles",2020,1681829.33123562,1627715.48897276,-54113.8422628592,"Global"
"23","Measles",2021,1675400.98622601,1588183.39073482,-87217.5954911818,"Global"
"24","Measles",2022,1719281.27041558,1621597.8518459,-97683.4185696824,"Global"
"25","MenA",2019,6089.69389971624,5302.63818758726,-787.055712128986,"Global"
"26","MenA",2020,6226.39896008304,5419.54937251962,-806.849587563414,"Global"
"27","MenA",2021,6350.91207620032,5854.50236571739,-496.40971048293,"Global"
"28","MenA",2022,6540.23159045756,4605.7766528942,-1934.45493756336,"Global"
"29","P",2019,468721.908049262,480591.908294794,11870.0002455317,"Global"
"30","P",2020,466623.968673665,457090.020437231,-9533.94823643449,"Global"
"31","P",2021,463881.058877455,442486.17948958,-21394.879387875,"Global"
"32","P",2022,472415.258004239,467740.771168174,-4674.48683606437,"Global"
"33","PCV",2019,141460.025661258,140117.057919999,-1342.96774125897,"Global"
"34","PCV",2020,143285.486397255,140364.097286509,-2921.38911074653,"Global"
"35","PCV",2021,144850.178782077,138080.440640865,-6769.73814121191,"Global"
"36","PCV",2022,159871.427850834,157694.263427306,-2177.16442352801,"Global"
"37","Rota",2019,31783.3887873534,32319.7609459349,536.372158581482,"Global"
"38","Rota",2020,32022.9428398746,35966.6239532983,3943.68111342368,"Global"
"39","Rota",2021,32230.5720521353,35250.5577220887,3019.98566995335,"Global"
"40","Rota",2022,35144.0061291594,35866.3614536983,722.355324538919,"Global"
"41","Rubella",2019,44465.8606549181,45556.8225021183,1090.96184720025,"Global"
"42","Rubella",2020,43596.0783134626,43262.8331861596,-333.24512730306,"Global"
"43","Rubella",2021,42636.7340842471,41710.5106702865,-926.223413960572,"Global"
"44","Rubella",2022,42732.5677521015,42540.2869353574,-192.280816744125,"Global"
"45","T",2019,42434.1189057742,43170.9363472204,736.817441446226,"Global"
"46","T",2020,42158.6534988422,41011.1198311873,-1147.53366765494,"Global"
"47","T",2021,41805.1315029801,39556.0685942373,-2249.06290874282,"Global"
"48","T",2022,42354.4431479033,41875.700416714,-478.742731189304,"Global"
"49","TB",2019,117690.627139496,119940.589990253,2249.96285075645,"Global"
"50","TB",2020,117448.373494537,114828.317513045,-2620.05598149223,"Global"
"51","TB",2021,117204.691085144,111044.929673516,-6159.76141162893,"Global"
"52","TB",2022,118677.047707591,117443.819055333,-1233.22865225789,"Global"
"53","YF",2019,145813.162852397,125334.379645795,-20478.783206602,"Global"
"54","YF",2020,148172.940656353,124390.273342519,-23782.6673138336,"Global"
