"location_iso3","year","disease","vaccine","target_deaths_averted","observed_deaths_averted"
"ARE",2020,"HPV","HPV",27.3731491524586,0
"ARG",2020,"HPV","HPV",2627.1280150722,0
"ARM",2020,"HPV","HPV",56.4460381947836,0
"AUS",2020,"HPV","HPV",1232.99337153891,0
"BEL",2020,"HPV","HPV",318.578365837414,0
"BGR",2020,"HPV","HPV",20.8952012920158,0
"BHS",2020,"HPV","HPV",9.40229980675296,0
"BLR",2020,"HPV","HPV",125.347920469705,0
"BLZ",2020,"HPV","HPV",38.1224368427025,0
"BOL",2020,"HPV","HPV",1564.96055834728,0
"BRA",2020,"HPV","HPV",18871.400560373,0
"BRB",2020,"HPV","HPV",3.38021090891511,0
"BRN",2020,"HPV","HPV",14.0751930593937,0
"BTN",2020,"HPV","HPV",52.4023728458512,0
"BWA",2020,"HPV","HPV",225.748442617815,0
"CAN",2020,"HPV","HPV",1701.50553566642,0
"CHE",2020,"HPV","HPV",122.191150399803,0
"CHL",2020,"HPV","HPV",649.831362179032,581.025688536547
"CHN",2020,"HPV","HPV",2495.14168348093,0
"CIV",2020,"HPV","HPV",5107.04548086821,0
"CMR",2020,"HPV","HPV",4477.46625871487,0
"COL",2020,"HPV","HPV",763.795835436347,180.899013655977
"CRI",2020,"HPV","HPV",218.103419258461,0
"CYP",2020,"HPV","HPV",7.20335865599268,0
"DEU",2020,"HPV","HPV",2245.38160028859,0
"DNK",2020,"HPV","HPV",85.0306319794631,0
"DOM",2020,"HPV","HPV",812.928620427058,0
"ECU",2020,"HPV","HPV",1436.58720383906,529.268969835445
"ESP",2020,"HPV","HPV",1922.02522752162,0
"EST",2020,"HPV","HPV",16.410938530736,0
"ETH",2020,"HPV","HPV",13039.7848997574,14644.6815028044
"FIN",2020,"HPV","HPV",104.358327469551,0
"FJI",2020,"HPV","HPV",82.497541015361,0
"FRA",2020,"HPV","HPV",1641.49579666187,0
"FSM",2020,"HPV","HPV",1.577575449329,0.631030179731599
"GBR",2020,"HPV","HPV",3935.46502918561,0
"GEO",2020,"HPV","HPV",74.6978234179357,21.6230541472972
"GMB",2020,"HPV","HPV",464.042600025433,0
"GRD",2020,"HPV","HPV",7.65262239584775,0
"GTM",2020,"HPV","HPV",1121.15355257755,0
"GUY",2020,"HPV","HPV",67.9682341066297,23.6000812870242
"HND",2020,"HPV","HPV",687.941699892977,0
"HUN",2020,"HPV","HPV",157.098177956215,0
"IDN",2020,"HPV","HPV",3664.689256854,0
"IRL",2020,"HPV","HPV",190.436112644329,0
"ISL",2020,"HPV","HPV",12.5694924002364,0
"ISR",2020,"HPV","HPV",425.560980422175,0
"ITA",2020,"HPV","HPV",1977.29125316913,0
"JAM",2020,"HPV","HPV",192.92474860233,0
"JPN",2020,"HPV","HPV",2167.57854325034,0
"KEN",2020,"HPV","HPV",10464.2039065305,2358.13045780969
"KGZ",2020,"HPV","HPV",462.827314992196,0
"KOR",2020,"HPV","HPV",479.161408607214,0
"LAO",2020,"HPV","HPV",389.518582122743,0
"LBR",2020,"HPV","HPV",1231.58261896043,0
"LCA",2020,"HPV","HPV",4.30382125820782,0
"LKA",2020,"HPV","HPV",627.254256483063,0
"LTU",2020,"HPV","HPV",35.4877731369042,0
