"region","year","target_deaths_averted","observed_deaths_averted"
"Global",2019,4258186.71277275,4258441.84191881
"Global",2020,4280672.17966892,4139431.86705059
"Global",2021,4231956.18096681,3972892.31596182
"Global",2022,4342561.65261726,4103300.95774857
"EMRO",2019,505708.954047325,526912.51162535
"EMRO",2020,506868.505424391,523437.903589678
"EMRO",2021,509597.299451842,522865.289950108
"EMRO",2022,529456.367060348,531903.87139099
"AFRO",2019,1672237.76269589,1616616.70807951
"AFRO",2020,1751131.95518532,1649735.77094203
"AFRO",2021,1795223.43729063,1634658.20525276
"AFRO",2022,1893553.38684595,1665807.5235044
"EURO",2019,207206.4118477,208508.554604051
"EURO",2020,199051.610653122,191926.340149908
"EURO",2021,196157.041399221,189147.914992773
"EURO",2022,194077.663709471,186621.404520499
"PAHO",2019,321648.860776387,317295.887590024
"PAHO",2020,307623.758582592,281173.168414976
"PAHO",2021,301393.895615556,271787.490733433
"PAHO",2022,307339.281968387,293307.724055881
"WPRO",2019,642018.581150793,646835.364651571
"WPRO",2020,616816.398013773,615914.894290929
"WPRO",2021,540454.638204598,521508.939298557
"WPRO",2022,502978.122077479,490867.168115126
"SEARO",2019,909366.142254663,942272.815368305
"SEARO",2020,899179.951809729,877243.789663065
"SEARO",2021,889129.869004961,832924.475734186
"SEARO",2022,915156.830955621,934793.26616168
