"","disease","year","target_deaths_averted","observed_deaths_averted","gap","region"
"1","D",2019,15154.020653675,15154.020653675,0,"Global"
"2","HPV",2019,62267.3378855493,62267.3378855493,0,"Global"
"3","HepB",2019,1318138.98626424,1318138.98626424,0,"Global"
"4","Hib",2019,202805.516928218,202805.516928218,0,"Global"
"5","JE",2019,11324.6277184725,11324.6277184725,0,"Global"
"6","Measles",2019,1656417.25863495,1656417.25863495,0,"Global"
"7","MenA",2019,5302.63818758726,5302.63818758726,0,"Global"
"8","P",2019,480591.908294794,480591.908294794,0,"Global"
"9","PCV",2019,140117.057919999,140117.057919999,0,"Global"
"10","Rota",2019,32319.7609459349,32319.7609459349,0,"Global"
"11","Rubella",2019,45556.8225021183,45556.8225021183,0,"Global"
"12","T",2019,43170.9363472204,43170.9363472204,0,"Global"
"13","TB",2019,119940.589990253,119940.589990253,0,"Global"
"14","YF",2019,125334.379645795,125334.379645795,0,"Global"
"15","D",2020,15035.2822833443,14286.4794618695,-748.802821474816,"Global"
"16","HPV",2020,224166.280631752,61299.0747955099,-162867.205836242,"Global"
"17","HepB",2020,1292062.52330391,1268243.17837009,-23819.3449338116,"Global"
"18","Hib",2020,203828.777721345,195827.825129114,-8000.9525922313,"Global"
"19","JE",2020,11127.7862320519,9726.98539877233,-1400.80083327953,"Global"
"20","Measles",2020,1655583.74089355,1627715.48897276,-27868.2519207909,"Global"
"21","MenA",2020,5421.27953119918,5419.54937251962,-1.73015867955928,"Global"
"22","P",2020,478675.792170513,457090.020437231,-21585.7717332821,"Global"
"23","PCV",2020,141778.53977043,140364.097286509,-1414.44248392119,"Global"
"24","Rota",2020,32520.9506288632,35966.6239532983,3445.67332443506,"Global"
"25","Rubella",2020,44667.0898941172,43262.8331861596,-1404.25670795761,"Global"
"26","T",2020,42905.7266179538,41011.1198311873,-1894.60678676656,"Global"
"27","TB",2020,119729.007859783,114828.317513045,-4900.69034673856,"Global"
"28","YF",2020,127282.599681156,124390.273342519,-2892.32633863683,"Global"
"29","D",2021,14917.0106448348,13767.4079185586,-1149.60272627619,"Global"
"30","HPV",2021,269497.127030632,57236.8476790839,-212260.279351548,"Global"
"31","HepB",2021,1226663.31305851,1174963.04920749,-51700.263851021,"Global"
"32","Hib",2021,204886.846353684,192552.024864023,-12334.8214896612,"Global"
"33","JE",2021,10973.0480545676,8929.18598913594,-2043.86206543163,"Global"
"34","Measles",2021,1647955.5084778,1588183.39073482,-59772.117742975,"Global"
"35","MenA",2021,5527.13478361552,5854.50236571739,327.367582101867,"Global"
"36","P",2021,476097.743071183,442486.17948958,-33611.5635816029,"Global"
"37","PCV",2021,143192.598702454,138080.440640865,-5112.15806158844,"Global"
"38","Rota",2021,32696.0838936239,35250.5577220887,2554.47382846476,"Global"
"39","Rubella",2021,43693.0907302602,41710.5106702865,-1982.58005997368,"Global"
"40","T",2021,42561.2778301182,39556.0685942373,-3005.20923588091,"Global"
"41","TB",2021,119522.797085527,111044.929673516,-8477.86741201124,"Global"
"42","YF",2021,129214.434314563,123277.220412415,-5937.21390214807,"Global"
"43","D",2022,15065.6640521265,14774.1504802032,-291.513571923286,"Global"
"44","HPV",2022,343462.965871185,80613.2057482555,-262849.760122929,"Global"
"45","HepB",2022,1213772.93523502,1183823.33603217,-29949.5992028445,"Global"
"46","Hib",2022,211074.485918814,200797.756644863,-10276.7292739508,"Global"
"47","JE",2022,10959.0410816336,10164.0868977552,-794.954183878344,"Global"
"48","Measles",2022,1700814.53912974,1621597.8518459,-79216.6872838454,"Global"
"49","MenA",2022,5819.72601009383,4605.7766528942,-1213.94935719964,"Global"
"50","P",2022,483491.863229591,467740.771168174,-15751.0920614169,"Global"
"51","PCV",2022,158307.361000433,157694.263427306,-613.097573127307,"Global"
"52","Rota",2022,35001.5442768416,35866.3614536983,864.817176856661,"Global"
"53","Rubella",2022,43575.2622077964,42540.2869353574,-1034.97527243902,"Global"
"54","T",2022,43035.9895594636,41875.700416714,-1160.28914274967,"Global"
"55","TB",2022,120912.809897052,117443.819055333,-3468.99084171884,"Global"
"56","YF",2022,139729.553005491,123763.590989943,-15965.9620155478,"Global"
"57","D",2019,1911.36376970421,1911.36376970421,0,"EMRO"
"58","D",2019,3448.87966115311,3448.87966115311,0,"AFRO"
"59","D",2019,328.663681401211,328.663681401211,0,"EURO"
"60","D",2019,507.571665420615,507.571665420615,0,"PAHO"
"61","D",2019,910.206865832569,910.206865832569,0,"WPRO"
"62","D",2019,8047.33501016331,8047.33501016331,0,"SEARO"
"63","HPV",2019,18539.7795823797,18539.7795823797,0,"AFRO"
"64","HPV",2019,20.0819773620367,20.0819773620367,0,"EMRO"
"65","HPV",2019,31845.2418471337,31845.2418471337,0,"PAHO"
"66","HPV",2019,8928.36190338749,8928.36190338749,0,"EURO"
"67","HPV",2019,2279.05887776716,2279.05887776716,0,"WPRO"
"68","HPV",2019,654.813697519213,654.813697519213,0,"SEARO"
"69","HepB",2019,83042.479390467,83042.479390467,0,"EMRO"
"70","HepB",2019,306317.948198282,306317.948198282,0,"AFRO"
"71","HepB",2019,100776.89272456,100776.89272456,0,"EURO"
"72","HepB",2019,128013.431731137,128013.431731137,0,"PAHO"
"73","HepB",2019,473975.353814595,473975.353814595,0,"WPRO"
"74","HepB",2019,226012.8804052,226012.8804052,0,"SEARO"
"75","Hib",2019,33223.3416970487,33223.3416970487,0,"EMRO"
