"location_iso3","year","disease","vaccine","target_deaths_averted","observed_deaths_averted","region","income_group","coverage","pop"
"AFG",2019,"HepB","HepB",4018.0683912944,4018.0683912944,"EMRO","Low income",0.72,1302369
"AFG",2019,"HepB","HepB_BD",428.609114687141,428.609114687141,"EMRO","Low income",0.36,1302369
"AFG",2019,"Hib","Hib3",3983.22385829523,3983.22385829523,"EMRO","Low income",0.72,1302369
"AFG",2019,"Measles","MCV1",13905.6453452684,13905.6453452684,"EMRO","Low income",0.64,1302369
"AFG",2019,"Measles","MCV2",1047.4131352772,1047.4131352772,"EMRO","Low income",0.41,1235806
"AFG",2019,"PCV","PCV3",3608.63500854203,3608.63500854203,"EMRO","Low income",0.68,1302369
"AFG",2019,"Rota","Rota",1054.79890713841,1054.79890713841,"EMRO","Low income",0.58,1302369
"AFG",2019,"D","DTP3",200.233416406546,200.233416406546,"EMRO","Low income",0.72,1302369
"AFG",2019,"P","DTP3",5643.00564638469,5643.00564638469,"EMRO","Low income",0.72,1302369
"AFG",2019,"T","DTP3",651.379870150389,651.379870150389,"EMRO","Low income",0.72,1302369
"AFG",2019,"TB","BCG",1618.92445937096,1618.92445937096,"EMRO","Low income",0.86,1302369
"AFG",2020,"HepB","HepB",4087.88645951853,3974.33405786523,"EMRO","Low income",0.7,1324999
"AFG",2020,"HepB","HepB_BD",436.05663859578,460.282007406656,"EMRO","Low income",0.38,1324999
"AFG",2020,"Hib","Hib3",4052.43646694395,3939.86878730662,"EMRO","Low income",0.7,1324999
"AFG",2020,"Measles","MCV1",14147.2702259001,14589.3724204595,"EMRO","Low income",0.66,1324999
"AFG",2020,"Measles","MCV2",1064.54221497414,1116.47110350946,"EMRO","Low income",0.43,1256016
"AFG",2020,"PCV","PCV3",3671.33875090944,3671.33875090944,"EMRO","Low income",0.68,1324999
"AFG",2020,"Rota","Rota",1073.12712231286,1147.13588936892,"EMRO","Low income",0.62,1324999
"AFG",2020,"D","DTP3",203.712677824224,198.053992329107,"EMRO","Low income",0.7,1324999
