"location_iso3","year","disease","v_at_id","target"
"AFG",2019,"D",20,200.233416406546
"AFG",2019,"HepB",3,4018.0683912944
"AFG",2019,"HepB",4,428.609114687141
"AFG",2019,"Hib",5,3983.22385829523
"AFG",2019,"Measles",8,13905.6453452684
"AFG",2019,"Measles",9,1047.4131352772
"AFG",2019,"P",20,5643.00564638469
"AFG",2019,"PCV",13,3608.63500854203
"AFG",2019,"Rota",15,1054.79890713841
"AFG",2019,"Rubella",17,0
"AFG",2019,"T",20,651.379870150389
"AFG",2019,"TB",21,1618.92445937096
"AFG",2020,"D",20,203.712677824224
"AFG",2020,"HPV",2,0
"AFG",2020,"HepB",3,4087.88645951853
"AFG",2020,"HepB",4,436.05663859578
"AFG",2020,"Hib",5,4052.43646694395
"AFG",2020,"Measles",8,14147.2702259001
"AFG",2020,"Measles",9,1064.54221497414
"AFG",2020,"P",20,5741.05866958909
"AFG",2020,"PCV",13,3671.33875090944
"AFG",2020,"Rota",15,1073.12712231286
"AFG",2020,"Rubella",17,0
"AFG",2020,"T",20,662.698264907561
"AFG",2020,"TB",21,1647.05493584542
"AFG",2021,"D",20,207.916849431224
"AFG",2021,"HPV",2,0
"AFG",2021,"HepB",3,4172.25124412254
"AFG",2021,"HepB",4,445.055867110218
"AFG",2021,"Hib",5,4136.0696434132
"AFG",2021,"Measles",8,14439.2380721605
"AFG",2021,"Measles",9,1087.43720902923
"AFG",2021,"P",20,5859.54121132679
"AFG",2021,"PCV",13,3747.10692744665
"AFG",2021,"Rota",15,1095.27405311028
"AFG",2021,"Rubella",17,0
"AFG",2021,"T",20,676.374866968315
"AFG",2021,"TB",21,1681.04644619425
"AFG",2022,"D",20,218.488956066965
"AFG",2022,"HPV",2,0
"AFG",2022,"HepB",3,4384.40088560005
"AFG",2022,"HepB",4,576.452202150801
"AFG",2022,"Hib",5,4346.37953144121
"AFG",2022,"Measles",8,15559.1753726689
"AFG",2022,"Measles",9,1330.00857284437
"AFG",2022,"P",20,6157.48577278071
"AFG",2022,"PCV",13,3983.46056093493
"AFG",2022,"Rota",15,1209.54817696784
"AFG",2022,"Rubella",17,0
"AFG",2022,"T",20,710.767015747434
"AFG",2022,"TB",21,1721.66471615799
"AFG",2023,"D",20,225.505701785489
"AFG",2023,"HPV",2,0
"AFG",2023,"HepB",3,4525.20537611579
"AFG",2023,"HepB",4,684.720889426442
"AFG",2023,"Hib",5,4485.96297088504
"AFG",2023,"Measles",8,16392.5198454095
"AFG",2023,"Measles",9,1551.70004289471
"AFG",2023,"P",20,6355.23266448076
"AFG",2023,"PCV",13,4151.37757638717
"AFG",2023,"Rota",15,1298.461144674
"AFG",2023,"Rubella",17,0
"AFG",2023,"T",20,733.59321028097
"AFG",2023,"TB",21,1735.82939929659
"AFG",2024,"D",20,232.948481329017
"AFG",2024,"HPV",2,0
"AFG",2024,"HepB",3,4674.55905425762
"AFG",2024,"HepB",4,781.466411525761
"AFG",2024,"Hib",5,4634.02145973197
"AFG",2024,"Measles",8,17222.7278415224
"AFG",2024,"Measles",9,1767.36215122104
"AFG",2024,"P",20,6564.98609995953
"AFG",2024,"PCV",13,4323.36845347236
"AFG",2024,"Rota",15,1384.17747037503
"AFG",2024,"Rubella",17,0
"AFG",2024,"T",20,757.805336606468
"AFG",2024,"TB",21,1755.2186689408
"AFG",2025,"D",20,239.162168704463
"AFG",2025,"HPV",2,1897.06092977209
"AFG",2025,"HepB",3,4799.24863547105
"AFG",2025,"HepB",4,863.144285102206
"AFG",2025,"Hib",5,4757.62973774094
"AFG",2025,"Measles",8,17931.2878528581
"AFG",2025,"Measles",9,1934.25526305899
"AFG",2025,"P",20,6740.10109112224
"AFG",2025,"PCV",13,4469.11251015012
"AFG",2025,"Rota",15,1457.56309921118
"AFG",2025,"Rubella",17,0
"AFG",2025,"T",20,778.019099865421
