"region","year","target_deaths_averted","observed_deaths_averted"
"Global",2019,4258441.84191881,4258441.84191881
"Global",2020,4394785.37721996,4139431.86705059
"Global",2021,4367398.01403137,3972892.31596182
"Global",2022,4525023.74047528,4103300.95774857
"EMRO",2019,526912.51162535,526912.51162535
"AFRO",2019,1616616.70807951,1616616.70807951
"EURO",2019,208508.554604051,208508.554604051
"PAHO",2019,317295.887590024,317295.887590024
"WPRO",2019,646835.364651571,646835.364651571
"SEARO",2019,942272.815368305,942272.815368305
"EMRO",2020,528962.978425686,523437.903589678
"AFRO",2020,1743538.22834632,1649735.77094203
"EURO",2020,211016.902147901,191926.340149908
"PAHO",2020,346481.690002265,281173.168414976
"WPRO",2020,628369.437395178,615914.894290929
"SEARO",2020,936416.140902612,877243.789663065
"EMRO",2021,532261.883327543,522865.289950108
"AFRO",2021,1804157.13072592,1634658.20525276
"EURO",2021,208366.486134154,189147.914992773
"PAHO",2021,340601.337491023,271787.490733433
"WPRO",2021,554080.075051439,521508.939298557
"SEARO",2021,927931.101301292,832924.475734186
"EMRO",2022,556898.552040206,531903.87139099
"AFRO",2022,1938928.48940619,1665807.5235044
"EURO",2022,206590.568224208,186621.404520499
"PAHO",2022,347732.511133041,293307.724055881
"WPRO",2022,518825.917064788,490867.168115126
"SEARO",2022,956047.702606852,934793.26616168
