"disease","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"D",14906.0676904296,15085.3087715637,15244.4390404799,15391.2328542766,15531.3199856788,15670.683649585,15802.7266880346,15926.3007176595,16039.8742158355,16142.5624799611
"HPV",190674.123053071,263272.450504298,302464.471597041,335754.722128688,424509.283861135,466654.510857213,492720.439043429,519286.623635737,546283.565076282,573724.183991842
"HepB",1308552.45844443,1324837.56744073,1340299.61746615,1355899.93366259,1372951.68049291,1393666.46911125,1431335.38298737,1460448.56267751,1483249.99679443,1501116.15052454
"Hib",200826.748550919,206223.863465096,211281.255305865,221754.904799593,229304.203614831,235351.983450368,240609.067634599,245393.35960983,249811.049052885,253897.688779942
"JE",5635.01603136262,5592.17270789119,8998.73316546479,11927.0657466158,13487.4082562185,14346.9462009111,15213.1718805841,15718.7251643724,15991.6838825006,16107.8648644373
"Measles",1671704.92405473,1717750.18993871,1760094.2603684,1803174.16093616,1845765.10503435,1897408.95591243,1956945.60401687,2008647.47183912,2053769.32475646,2093542.7999187
"MenA",6029.44218869549,6217.31427736623,6421.43774282166,6617.64654420531,7028.67547061858,7409.91986331653,14073.0516290198,18482.6782744266,21444.2669923884,23474.8859162623
"P",467359.322710393,476296.587441907,484588.409793305,492440.005680217,499991.464818282,507360.652647087,514438.833273819,521187.305375918,527550.80949227,533496.610596257
"PCV",139472.954048902,154742.092588322,172463.646962094,185608.458064233,196262.798578602,204912.539959351,216690.890530975,225872.991099743,233204.410296036,239174.391526625
"Rota",31712.297218881,34637.0256829365,38328.1071425888,41417.1877792379,44283.3774908066,46742.4497471837,61748.3211597666,72074.0576231018,79303.6732232759,84475.5965143977
"Rubella",106024.619959296,107422.963198948,108744.003476313,110499.578075623,112498.028882623,116050.189445634,122438.380019508,126983.066031966,130246.521301224,132608.794647312
"T",42337.632073819,42926.6091351877,43453.4168071188,43946.7123508253,44427.2513889057,44914.0620237937,45388.204678069,45842.837402858,46267.614836803,46655.44565402
"TB",117236.971615971,118728.401397283,120125.362713981,121463.282512785,122767.890190874,124052.758422311,125302.438774654,126510.114208228,127667.34737986,128768.545526151
"YF",143400.085159316,149365.348422023,155131.210920868,162969.875370324,169830.470528282,177122.142190265,183558.820925974,189360.34676088,194677.108299226,199613.293150093
